seq,title,location,date,thumbnail_url,detail_url,description,hashtags,region,new_main_category,new_sub_category,exhibition_type,commerciality,new_mood_tags,new_audience_tags
25488,왓어브레드 팝업,인천광역시 미추홀구 연남로 35 롯데백화점 인천점 B1 행사장,2026-05-01~ 2026-06-04,https://minfo.lotteshopping.com/content/news/202601/SNM00000000000506750/20260111142923629_8.jpeg,https://dayforyou.com/getDetail?scheduleSeq=25488,운영시간 📍 장소 : 인천광역시 미추홀구 연남로 35 롯데백화점 인천점 B1 행사장 ⏰ 월-목 10:30 ~ 20:00 / 금-일 10:30 ~ 20:30 콘텐츠 ✅ 미국 뉴저지 농장 컨셉의 K-Bakery 대한민국 제빵 국가대표 쉐프가 선보이는 왓어브레드팝업스토어를 만나보세요.,"['#롯데백화점인천점#왓어브레드#K베이커리', '#롯데백화점인천점', '#왓어브레드', '#K베이커리']",인천,팝업스토어,식음료,,브랜드,"[""트렌디한"", ""이색적인"", ""포토제닉한""]","[""20대"", ""30대"", ""가족""]"
25487,프랑스루브르바게트 팝업 IN 인천,인천광역시 미추홀구 연남로 35 롯데백화점 인천점 B1 행사장,2026-05-01~ 2026-05-21,https://minfo.lotteshopping.com/content/news/202604/SNM00000000000525910/20260417120800570_5.jpeg,https://dayforyou.com/getDetail?scheduleSeq=25487,운영시간 📍 장소 : 인천광역시 미추홀구 연남로 35 롯데백화점 인천점 B1 행사장 ⏰ 월-목 10:30 ~ 20:00 / 금-일 10:30 ~ 20:30 콘텐츠 ✅ 프랑스루브르바게트 롯데인천점 팝업 🥖 프랑스문화와 예술감성을 품은 프리미엄 베이커리 전문 브랜드로 프랑스 정통 바게트 부터 많은 사랑을 받는 부들크림빵까지 풍성하고 다양한 베이커리를 선보입니다.,"['#롯데백화점인천점#프랑스루브르바게트#베이커리', '#롯데백화점인천점', '#프랑스루브르바게트', '#베이커리']",인천,팝업스토어,식음료,,브랜드,"[""트렌디한"", ""감성적인"", ""이색적인""]","[""20대"", ""30대"", ""가족""]"
25180,소닉 레이싱 크로스월드 팝업 IN 인천,인천 연수구 청능대로 210 인천 스퀘어원 1층,2026-05-01~ 2026-05-17,/resources/uploads/thslr_fpdltld_zmfhtmdnjfemvkqdjq.jpg,https://dayforyou.com/getDetail?scheduleSeq=25180,"운영시간 📍 장소 : 인천 연수구 청능대로 210 인천 스퀘어원 1층 ⏰ 매일 10:30 ~ 22:00 콘텐츠 ✅ '소닉 레이싱 크로스월드' 팝업스토어!🏎️ 이벤트 중 '소닉 그림 그리기 대회' 1등은 플레이스테이션5 콘솔을 받을 수 있는 기회도 있으니, 지금부터 하나씩 자세히 소개해 드릴 아래 일정, 이벤트, 경품 내용을 확인해주세요!📢 ✔️ EVENT 1. 스퀘어원 단독 최대 50% 할인! ✔️ EVENT 2. 소닉 그림 그리기 대회 소닉을 자유롭게 그려 응모해보세요! 가장 멋진 그림을 그려준 분에게는 다양한 경품도 함께 준비되어 있습니다🎁 🥇 금상 : PS5 슬림 디지털 (1명) 🥈 은상 : 듀얼센스 무선 컨트롤러 화이트 (1명) 🥉 동상 : 소닉 레이싱 크로스월드 PS5 타이틀 (1명) 🎁 장려상 : 소닉 레이싱 크로스월드 키링 1박스 (7종 동봉) (3명) ✔️ EVENT 3. 스탬프 레이싱","['#소닉레이싱크로스월드', '#소닉레이싱크로스월드']",인천,팝업스토어,캐릭터,,브랜드,"[""트렌디한"", ""이색적인"", ""힙한""]","[""친구"", ""가족"", ""20대""]"
25006,캐논/마샬 팝업,인천 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 에이샵 옆,2026-04-24~ 2026-05-17,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260416_5%2F1776330625696KIUpT_JPEG%2F4b4ed23b-7784-4944-9943-b661e639db38_01.jpg,https://dayforyou.com/getDetail?scheduleSeq=25006,운영시간 📍 장소 : 인천 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 에이샵 옆 ⏰ 매일 10:30-21:00 콘텐츠 ✅ [G7X MarkⅢ 30주년 한정판] & [V1] 선착순 판매,"['#송도현대아울렛#캐논#마샬', '#송도현대아울렛', '#캐논', '#마샬']",송도,팝업스토어,기타,,브랜드,[],[]
24890,코닥 팝업 IN 인천,인천광역시 미추홀구 연남로 35 롯데백화점 인천점 4F 본매장,2026-04-24~ 2026-05-31,https://minfo.lotteshopping.com/content/news/202604/20260424165132133_3.jpeg,https://dayforyou.com/getDetail?scheduleSeq=24890,운영시간 📍 장소 : 인천광역시 미추홀구 연남로 35 롯데백화점 인천점 4F 본매장 ⏰ 월-목 10:30 ~ 20:00 / 금-일 10:30 ~ 20:30 콘텐츠 ✅ [코닥] 김혜윤과 함께 여름을 기다리는 순간,"['#롯데백화점인천점#코닥', '#롯데백화점인천점', '#코닥']",인천,팝업스토어,기타,,브랜드,"[""트렌디한""]","[""20대"", ""30대"", ""가족""]"
24804,키즈망고 팝업 IN 송도,인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 3층 탑텐키즈 앞,2026-04-28~ 2026-05-29,https://imgprism.ehyundai.com/evntCrdInf/imgPath/202604/18/4fb5a277-7e76-46e3-8101-4a9a93fdaa90.png,https://dayforyou.com/getDetail?scheduleSeq=24804,운영시간 📍 장소 : 인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 3층 탑텐키즈 앞 ⏰ 월-일 10:30 ~ 21:00 콘텐츠 ✅ 좋은 원료로 아이의 안전을 최우선으로 엄마의 마음으로 만든 엄마표 집콕놀이 ✅ 스페셜 프로모션 8만원 이상 구매시 캐릭터 풍선 증정,"['#송도현대아울렛#키즈망고#집콕놀이', '#송도현대아울렛', '#키즈망고', '#집콕놀이']",송도,팝업스토어,패션,,브랜드,"[""이색적인"", ""트렌디한"", ""귀여운""]","[""가족"", ""아이"", ""팬덤""]"
24803,미담 수제 고로케 팝업,인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 행사장 (유토 옆),2026-04-24~ 2026-05-21,https://imgprism.ehyundai.com/derivedImage/fileValue/202604/22/cb7715de-8dfc-4e46-8dfa-b02f02850f90_01.jpg,https://dayforyou.com/getDetail?scheduleSeq=24803,"운영시간 📍 장소 : 인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 행사장 (유토 옆) ⏰ 월-일 10:30 ~ 21:00 콘텐츠 ✅ 40년 베이커리 장인이 직접 만든 프리미엄 수제 고로케 쌀의 고유의 고소함과 담백함을 그대로 살려, 고로케의 새로운 세계를 제시합니다. ✅ SPECIAL BENEFIT 대상 고로케 3/6개 구매 고객 혜택 10,000/20,000원 할인 판매","['#송도현대아울렛#미담수제고로케', '#송도현대아울렛', '#미담수제고로케']",송도,팝업스토어,식음료,,브랜드,"[""트렌디한"", ""이색적인"", ""감성적인""]","[""20대"", ""30대"", ""가족""]"
24663,지구인샵 팝업 IN 송도,인천 연수구 송도국제대로 123 교보문고 현대아울렛 송도점,2026-04-07~ 2026-05-31,/resources/uploads/658855715_17918921793321223_4173755982133981138_n.jpg,https://dayforyou.com/getDetail?scheduleSeq=24663,"운영시간 📍 장소 : 인천 연수구 송도국제대로 123 교보문고 현대아울렛 송도점 ⏰ 매일 10:30 ~ 21:00 콘텐츠 ✅ 😮 지구인샵이 교보문고 송도점에 뜬다! 지구인샵 오프라인 팝업 진행!!! 그동안 사진으로만 봤었던 신기한 제품들을 눈으로 직접 보고, 체험해 볼 수 있는 기회! 이 기회! 절대 놓치지 마세요!","['#교보문고#송도현대아울렛#지구인샵', '#교보문고', '#송도현대아울렛', '#지구인샵']",송도,팝업스토어,식음료,,브랜드,"[""트렌디한"", ""이색적인"", ""포토제닉한""]","[""20대"", ""30대"", ""가족""]"
24267,PCCM 폰케이스 팝업,인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 교보문고 앞 행사장,2026-04-17~ 2026-06-30,https://imgprism.ehyundai.com/derivedImage/fileValue/202604/16/059cece1-a462-4234-bb3e-489226352522_01.gif,https://dayforyou.com/getDetail?scheduleSeq=24267,운영시간 📍 장소 : 인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 교보문고 앞 행사장 ⏰ 월-일 10:30 ~ 21:00 콘텐츠 ✅ 송현아 X PCCM 세상에 하나뿐인 커스텀 폰케이스를 만나보세요!,"['#송도현대아울렛#PCCM#커스텀폰케이스', '#송도현대아울렛', '#PCCM', '#커스텀폰케이스']",송도,팝업스토어,패션,,브랜드,"[""트렌디한"", ""이색적인"", ""귀여운""]","[""20대"", ""30대"", ""친구""]"
23261,카페모라 팝업,인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 가든스퀘어,2026-04-06~ 2026-06-30,https://imgprism.ehyundai.com/derivedImage/fileValue/202603/28/322d2c7a-3aa6-4665-84f5-c0a9931bbfdf_01.jpg,https://dayforyou.com/getDetail?scheduleSeq=23261,운영시간 📍 장소 : 인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 지하1층 가든스퀘어 ⏰ 월-일 10:30-21:00 콘텐츠 ✅ 향기로운 기억이 머무는 공간 [카페모라]깊은 풍미를 완성합니다. 카페모라는 숙성우유를 사용하여 한층 깊은 풍미를 완성합니다. ✅ ■ SPECIAL BENEFIT 대상 1만원 이상 구매 고객 혜택 휘낭시에 1PC 증정,"['#송도현대아울렛#카페모라#`', '#송도현대아울렛', '#카페모라', '#`']",송도,팝업스토어,식음료,,브랜드,"[""트렌디한"", ""이색적인"", ""감성적인""]","[""20대"", ""30대"", ""커플""]"
23259,라젤라또 팝업,인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 1층 행사장(발리 앞),2026-04-03~ 2026-08-31,https://imgprism.ehyundai.com/derivedImage/fileValue/202603/30/febc114f-a01d-4e5b-a251-b02b53a4b128_01.jpg,https://dayforyou.com/getDetail?scheduleSeq=23259,"운영시간 📍 장소 : 인천광역시 연수구 송도국제대로 123 현대프리미엄아울렛 송도점 1층 행사장(발리 앞) ⏰ 월-일 10:30-21:00 콘텐츠 ✅ ""정통 이탈리아 감성을 담다"" 라젤라또는 이탈리아 전통 젤라또의 깊은 맛과 현대적인 감각을 결합한 프리미엄 젤라또 입니다 ✅  SPECIAL BENEFIT 전 구매 고객 미니콘 증정","['#송도현대아울렛#라젤라또', '#송도현대아울렛', '#라젤라또']",송도,팝업스토어,식음료,,브랜드,"[""트렌디한"", ""감성적인"", ""이색적인""]","[""20대"", ""가족"", ""혼자""]"
5003,영종 역사문화 체험존,인천 중구 구읍로 63,2023-12-08~ 2033-12-31,https://www.ijcf.or.kr/_data/bd_board_file/2311281654531.JPG,https://dayforyou.com/getDetail?scheduleSeq=5003,운영시간 📍 장소 : 영종역사관 1층 다목적 영상실 ⏰ 화-금 : 10:00 - 18:00 토-일 : 10:00 - 18:00 ❗ 휴무: 월 콘텐츠 ✅ 영종국제도시의 문화유산과 발굴유적을 담은 실감형 콘텐츠 및 핸즈온 기반 체험 전시공간 구성,"['#영종도#문화유산#체험#전시#발굴유적', '#영종도', '#문화유산', '#체험', '#전시', '#발굴유적']",인천,전시,문화유산,체험전시,체험중심,"[""이색적인"", ""감성적인"", ""트렌디한""]","[""가족"", ""커플"", ""혼자""]"
