seq,source,title,location,date,thumbnail_url,detail_url,store_url,description,hashtags,main_category,sub_category,detail_category,music_genre,mood_tags,activity_tags,theme_tags,space_tags,emotion_tags,audience_tags,vector_summary,region_filter
26004936,yanolja,yutori Bless you! live in Seoul VIP Ticket,공연장: 무신사개러지,2026-06-27,https://ticketimage.interpark.com/Play/image/large/26/26004936_p.gif,https://nol.yanolja.com/ticket/products/26004936,https://nol.yanolja.com/ticket/products/26004936,,[],공연,내한공연,,[],[],[],[],[],[],[],,서울
25018467,yanolja,워터밤 서울 2026,공연장: 킨텍스 야외 글로벌 스테이지(킨텍스 제2전시장),2026-07-24~ 2026-07-26,https://ticketimage.interpark.com/Play/image/large/25/25018467_p.gif,https://nol.yanolja.com/ticket/products/25018467,https://nol.yanolja.com/ticket/products/25018467,,[],공연,페스티벌,,[],[],[],[],[],[],[],,서울
26003322,yanolja,"2026 서울파크뮤직페스티벌, 단독판매, 공연장: 올림픽공원 88잔디마당",티켓링크 라이브 아레나,2026-06-20~ 2026-06-21,https://ticketimage.interpark.com/Play/image/large/26/26003322_p.gif,https://nol.yanolja.com/ticket/products/26003322,https://nol.yanolja.com/ticket/products/26003322,,[],공연,페스티벌,,[],[],[],[],[],[],[],,서울
26006872,yanolja,ONE UNIVERSE FESTIVAL 2026,공연장: 추후 공지,2026-07-25~ 2026-07-26,https://ticketimage.interpark.com/Play/image/large/26/26006872_p.gif,https://nol.yanolja.com/ticket/products/26006872,https://nol.yanolja.com/ticket/products/26006872,,[],공연,페스티벌,,[],[],[],[],[],[],[],,서울
26004141,yanolja,RAPBEAT 2026,공연장: 문화비축기지,2026-06-20~ 2026-06-21,https://ticketimage.interpark.com/Play/image/large/26/26004141_p.gif,https://nol.yanolja.com/ticket/products/26004141,https://nol.yanolja.com/ticket/products/26004141,,[],공연,페스티벌,,[],[],[],[],[],[],[],,서울
26006193,yanolja,SOUNDBERRY FESTA’ 26,공연장: 일산 킨텍스(KINTEX),2026-07-18~ 2026-07-19,https://ticketimage.interpark.com/Play/image/large/26/26006193_p.gif,https://nol.yanolja.com/ticket/products/26006193,https://nol.yanolja.com/ticket/products/26006193,,[],공연,페스티벌,,[],[],[],[],[],[],[],,서울
26006568,yanolja,"2026 세종보헤미안스테이지 - 세종시, 단독판매",공연장: 세종예술의전당(세종특별자치시),2026-06-27,https://ticketimage.interpark.com/Play/image/large/26/26006568_p.gif,https://nol.yanolja.com/ticket/products/26006568,https://nol.yanolja.com/ticket/products/26006568,,[],공연,페스티벌,,[],[],[],[],[],[],[],,서울
26003421,yanolja,"연희 상설 공연 〈연희판판〉, 단독판매",공연장: 국립국악원 연희마당,2026-04-04~ 2026-10-31,https://ticketimage.interpark.com/Play/image/large/26/26003421_p.gif,https://nol.yanolja.com/ticket/products/26003421,https://nol.yanolja.com/ticket/products/26003421,,[],공연,페스티벌,,[],[],[],[],[],[],[],,서울
26006536,yanolja,"2026 엔싸인(n.SSign) FANMEETING 〈COSMO BLOOM〉, 단독판매",공연장: 광운대학교 동해문화예술관 소극장,2026-06-13,https://ticketimage.interpark.com/Play/image/large/26/26006536_p.gif,https://nol.yanolja.com/ticket/products/26006536,https://nol.yanolja.com/ticket/products/26006536,,[],공연,팬클럽/팬미팅,,[],[],[],[],[],[],[],,서울
26006514,yanolja,"2026 에픽하이 팬미팅 ＇동창회＇, 단독판매",공연장: 블루스퀘어 우리WON뱅킹홀,2026-07-04~ 2026-07-05,https://ticketimage.interpark.com/Play/image/large/26/26006514_p.gif,https://nol.yanolja.com/ticket/products/26006514,https://nol.yanolja.com/ticket/products/26006514,,[],공연,팬클럽/팬미팅,,[],[],[],[],[],[],[],,서울
26005340,yanolja,규현(KYUHYUN) 20th Anniversary Fanmeeting 〈Hotel 203〉 IN SEOUL,공연장: 예스24 라이브홀,2026-06-06~ 2026-06-07,https://ticketimage.interpark.com/Play/image/large/26/26005340_p.gif,https://nol.yanolja.com/ticket/products/26005340,https://nol.yanolja.com/ticket/products/26005340,,[],공연,팬클럽/팬미팅,,[],[],[],[],[],[],[],,서울
26007249,yanolja,강남문화재단 제1013회 목요예술무대 〈밴드 오월오일〉,공연장: 강남씨어터,2026-06-11,https://ticketimage.interpark.com/Play/image/large/26/26007249_p.gif,https://nol.yanolja.com/ticket/products/26007249,https://nol.yanolja.com/ticket/products/26007249,,[],공연,인디,,[],[],[],[],[],[],[],,서울
26006474,yanolja,"2026 이영훈 콘서트 ［내가 부른 그림 2］, 단독판매",공연장: 서강대학교 메리홀 대극장,2026-06-06~ 2026-06-07,https://ticketimage.interpark.com/Play/image/large/26/26006474_p.gif,https://nol.yanolja.com/ticket/products/26006474,https://nol.yanolja.com/ticket/products/26006474,,[],공연,인디,,[],[],[],[],[],[],[],,서울
26006012,yanolja,바이닐 스튜디오 ［5월의 음반 : 이찬혁 2집］ - 세종시,공연장: 세종음악창작소 스튜디오,2026-05-22,https://ticketimage.interpark.com/Play/image/large/26/26006012_p.gif,https://nol.yanolja.com/ticket/products/26006012,https://nol.yanolja.com/ticket/products/26006012,,[],공연,인디,,[],[],[],[],[],[],[],,서울
26005902,yanolja,"홈존의 집들이vol.5 〈Art Room〉, 단독판매",공연장: 서보아트스페이스 보이드홀,2026-05-23,https://ticketimage.interpark.com/Play/image/large/26/26005902_p.gif,https://nol.yanolja.com/ticket/products/26005902,https://nol.yanolja.com/ticket/products/26005902,,[],공연,인디,,[],[],[],[],[],[],[],,서울
26005814,yanolja,"영등포아트홀 기획공연 ［죠지＆김뜻돌］, 단독판매",공연장: 영등포아트홀,2026-07-24,https://ticketimage.interpark.com/Play/image/large/26/26005814_p.gif,https://nol.yanolja.com/ticket/products/26005814,https://nol.yanolja.com/ticket/products/26005814,,[],공연,인디,,[],[],[],[],[],[],[],,서울
26005565,yanolja,"2026 The Mixtage ［3 Fingers : 정성하x영소x김진산］, 단독판매",공연장: NOL씨어터 합정 동양생명홀,2026-05-30~ 2026-05-31,https://ticketimage.interpark.com/Play/image/large/26/26005565_p.gif,https://nol.yanolja.com/ticket/products/26005565,https://nol.yanolja.com/ticket/products/26005565,,[],공연,인디,,[],[],[],[],[],[],[],,서울
26004573,yanolja,"디깅라이브세종 〈EP.20 놀이도감〉 - 세종시, 단독판매",공연장: 세종음악창작소 누리락,2026-05-30,https://ticketimage.interpark.com/Play/image/large/26/26004573_p.gif,https://nol.yanolja.com/ticket/products/26004573,https://nol.yanolja.com/ticket/products/26004573,,[],공연,인디,,[],[],[],[],[],[],[],,서울
25018300,yanolja,"ASIAN POP FESTIVAL 2026 - 일반 티켓, 단독판매",공연장: 파라다이스시티,2026-05-30~ 2026-05-31,https://ticketimage.interpark.com/Play/image/large/25/25018300_p.gif,https://nol.yanolja.com/ticket/products/25018300,https://nol.yanolja.com/ticket/products/25018300,,[],공연,페스티벌,,[],[],[],[],[],[],[],,경기
26002152,yanolja,S2O Korea 2026,공연장: 서울랜드,2026-07-11~ 2026-07-12,https://ticketimage.interpark.com/Play/image/large/26/26002152_p.gif,https://nol.yanolja.com/ticket/products/26002152,https://nol.yanolja.com/ticket/products/26002152,,[],공연,페스티벌,,[],[],[],[],[],[],[],,경기
